City,Lon,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Saint-Philippe,-73.48,45.36,14.83,67,20,4.1
Henties Bay,14.28,-22.12,16.15,72,8,5.41
Butaritari,172.79,3.07,28.45,79,89,6.19
Ayr,-4.63,55.46,11.17,71,20,5.1
Dikson,80.55,73.51,-3.55,90,81,2.9
Georgetown,-58.16,6.8,32.6,74,40,5.1
Sheregesh,87.98,52.93,2.95,72,6,1.1
Port Alfred,26.89,-33.59,15.15,92,100,3.75
Barrow,-60.23,-38.31,16.25,39,0,2.65
Novyy Urengoy,76.63,66.08,-0.55,93,89,3.93
Saskylakh,114.09,71.97,2.25,86,65,4.17
Arraial do Cabo,-42.02,-22.97,25.51,73,0,7.7
Luderitz,15.16,-26.65,15.0,82,0,3.6
Busselton,115.35,-33.64,7.61,63,0,8.39
Severo-Kurilsk,156.12,50.68,3.35,93,84,6.04
Albany,-73.75,42.65,23.3,33,20,2.6
Lavrentiya,-170.99,65.58,1.35,83,98,1.68
Kapaa,-159.32,22.08,26.04,74,40,3.6
Hobart,147.33,-42.88,7.37,81,40,1.5
Fairbanks,-147.72,64.84,15.63,41,90,3.1
Khatanga,102.47,71.98,1.95,96,68,4.57
Yellowknife,-114.38,62.45,8.0,52,75,3.1
Chuy,-53.46,-33.69,18.05,77,97,2.99
Kruisfontein,24.73,-34.0,14.85,92,100,2.6
Qaanaaq,-69.36,77.48,-2.45,82,49,1.0
La Ronge,-105.3,55.1,18.0,39,40,6.2
Esperance,-61.45,10.24,32.0,55,40,6.7
Hilo,-155.08,19.71,24.08,65,1,1.5
Hermanus,19.24,-34.42,14.5,89,76,2.24
Ribeira Grande,-28.7,38.52,20.0,77,75,4.1
Mar del Plata,-67.52,-46.43,8.85,48,3,6.56
Smoky Lake,-112.47,54.11,22.78,35,79,3.71
Berezovyy,135.7,51.67,5.05,97,100,3.99
Bluff,149.07,-23.58,15.15,40,0,4.71
Mountain Home,-115.69,43.13,18.1,68,20,11.8
Rikitea,-134.97,-23.12,23.85,79,100,6.43
Cayenne,-52.33,4.94,31.0,66,40,6.7
Northam,-4.21,51.04,13.5,71,40,5.1
Victoria,115.24,5.28,26.8,88,75,6.35
Punta Arenas,-70.91,-53.16,3.62,60,40,9.3
Gainesville,-82.33,29.65,35.82,28,1,2.1
